,0
0,3.454560984890158
1,16.141426853314766
2,16.784410533427554
3,16.806217294277978
4,16.810652169471634
5,16.81587450536795
6,16.911899796928633
7,17.117165375330764
8,17.422491511854755
9,17.458859600777117
10,17.81475018818479
11,17.854011681124426
12,17.94235300423893
13,18.003574148843395
14,18.006144104910952
15,18.01372472138911
16,18.086106744031245
17,18.149240487925848
18,18.462715094463423
19,18.546306307753298
20,18.59358137799125
21,18.62876724564222
22,18.672060816055495
23,18.930466074973406
24,19.011033890908394
25,19.03564393164382
26,19.077189031603684
27,19.215546476966544
28,19.30540345742748
29,19.351860165468306
30,19.37485377944492
31,19.405531761986772
32,19.569488418120287
33,19.619268057458573
34,19.730308980502823
35,19.76375433372243
36,19.849975493466356
37,19.904180046835563
38,20.086151863442126
39,20.094921685490295
40,20.096455041106374
41,20.10605931856968
42,20.107650808963
43,20.125479867067618
44,20.15073656382851
45,20.163286032937986
46,20.167147415524912
47,20.25715932662774
48,20.27704119848718
49,20.27721937247863
50,20.28700434527559
51,20.308234140805265
52,20.359742993957724
53,20.463409882324832
54,20.47357570330983
55,20.488043920328934
56,20.499336329914733
57,20.523482123866724
58,20.54452164111728
59,20.590155018323905
60,20.6443064876651
61,20.69766273865527
62,20.830760442169264
63,20.887317413340494
64,20.99140748767496
65,21.033268121145138
66,21.163085307269117
67,21.205317106283555
68,21.225451217617287
69,21.23512136408924
70,21.240877743596517
71,21.244507625530417
72,21.2692977502158
73,21.288226304529204
74,21.3301996139871
75,21.37266900229439
76,21.412313050080687
77,21.416595107616782
78,21.419838069620713
79,21.46326648671252
80,21.55826636947281
81,21.5867476337541
82,21.60868310896526
83,21.615997344925713
84,21.64304253108354
85,21.663298384786525
86,21.69713168984484
87,21.7031682896553
88,21.706156990137327
89,21.726949220981673
90,21.74598128923597
91,21.860848594335348
92,21.875353208872458
93,21.893465986971204
94,22.00655869564477
95,22.012925174612583
96,22.015338775690385
97,22.057320070434653
98,22.10437420626266
99,22.10518707920392
100,22.12518352193623
101,22.176570690159522
102,22.17827396434578
103,22.18667305457095
104,22.20305670225895
105,22.220740200271162
106,22.240967236937305
107,22.25412381058944
108,22.289539879195114
109,22.305366299810647
110,22.318286641900393
111,22.367707518487418
112,22.377820131375795
113,22.42292803376139
114,22.440366691883597
115,22.443751322204122
116,22.499533443226383
117,22.51910121691836
118,22.528927172557857
119,22.539413690216914
120,22.580393245093482
121,22.625016515428943
122,22.80903065295018
123,22.810062074125998
124,22.81021196828607
125,22.813257222903363
126,22.82407228265646
127,22.82800676336426
128,22.851498872132776
129,22.860024599636834
130,22.879140176862183
131,22.907105520689466
132,22.908001038527466
133,22.93065427288218
134,22.95339516454161
135,22.959115450903525
136,22.96218902646824
137,22.969934688146857
138,22.977497958194416
139,23.003680343217905
140,23.01601798440068
141,23.05023470347229
142,23.057776432438423
143,23.064031378640326
144,23.065586168933503
145,23.06923465078643
146,23.086641397595812
147,23.105431476093514
148,23.10828936224477
149,23.157750969944797
150,23.16191381611376
151,23.171137128632356
152,23.178706214072708
153,23.21073759423859
154,23.21725641155704
155,23.268943699968748
156,23.273852668134523
157,23.42742283685434
158,23.44264141195164
159,23.456723708256586
160,23.491423514548533
161,23.50599692460364
162,23.513618897028092
163,23.56862089884353
164,23.57308737407616
165,23.585511846058512
166,23.58918511208057
167,23.590893398339077
168,23.618581181676088
169,23.631710749471313
170,23.654269561899227
171,23.679945331779123
172,23.69165844097981
173,23.711658815729862
174,23.739986227457422
175,23.795635190304267
176,23.810927590083796
177,23.821642353797134
178,23.838235518388505
179,23.841277429149393
180,23.910052936293003
181,23.91748425086456
182,23.921189486866396
183,23.923148577905717
184,23.925635140321695
185,23.93349739865029
186,23.949453992656526
187,23.951443695693754
188,23.952873985053465
189,23.962835363830642
190,23.968482958309217
191,23.96930900783407
192,23.988697925670532
193,24.0309039839646
194,24.047543148540566
195,24.056023396969177
196,24.05909895108384
