,0
0,-0.46591632732177235
1,0.975933608958343
2,2.364490529014569
3,3.229708370533496
4,5.4264584320057745
5,6.872983060433201
6,7.135103633323926
7,7.55101792705396
8,8.517709771879906
9,8.522862440692661
10,8.82248107709789
11,9.004374583345584
12,9.51366473251792
13,9.790154074550555
14,10.024937221152113
15,10.153085619686195
16,10.22962557363875
17,10.590433303389641
18,10.594604229324894
19,10.698655701608493
20,10.786751620566365
21,11.03163475632273
22,11.056273254289813
23,11.06287814573229
24,11.126290402846545
25,11.166264163314601
26,11.352904618242157
27,11.704846025906107
28,11.773235067717266
29,11.87554442476674
30,12.071345682149948
31,12.183653288888907
32,12.241552099262686
33,12.365981683250801
34,12.38321863415615
35,12.42575746130537
36,12.45973091361324
37,12.547632328150389
38,12.620266431050709
39,12.626745831900585
40,12.699102629823031
41,12.700245527798895
42,12.752697551749097
43,13.051289306284051
44,13.058118495818672
45,13.086735887347892
46,13.139491863683746
47,13.223275309832086
48,13.396661899089237
49,13.427236018670513
50,13.566162553837238
51,13.582262730259698
52,13.671806563531662
53,13.720258137929585
54,13.72802389123505
55,13.7297089944274
56,13.73269915021983
57,13.775512706626385
58,13.826754260410418
59,13.862026376649698
60,13.866230603701599
61,13.867736147921072
62,13.974075360294783
63,14.023390968203953
64,14.053363055511413
65,14.086248424770865
66,14.093233098901361
67,14.131595140851035
68,14.253588231283652
69,14.260105822271747
70,14.33748722165061
71,14.378171759578029
72,14.416140743982874
73,14.443827662419725
74,14.605376964258111
75,14.64843718525673
76,14.67176651548741
77,14.675492496416275
78,14.704175382260088
79,14.71003661060312
80,14.81065283756271
81,14.8796520594046
82,14.98397069178247
83,15.03922505690506
84,15.078110531929456
85,15.157255073609619
86,15.164424065539666
87,15.184833717322718
88,15.230125854779544
89,15.245913961855527
90,15.258379197723427
91,15.26998161377535
92,15.32154866936096
93,15.409528897583394
94,15.434127813102156
95,15.467537198337538
96,15.502954998770075
97,15.529813340014133
98,15.54285778671154
99,15.563139310946417
100,15.603067129032757
101,15.607123992593444
102,15.614737019123897
103,15.63644874720912
104,15.764984782292482
105,15.78511533208082
106,15.785970720050965
107,15.786736109567084
108,15.801134916066824
109,15.813537453931511
110,15.816069639410115
111,15.848815653385437
112,15.887695541749103
113,16.02253002238794
114,16.04065090612624
115,16.041111731558974
116,16.071049908593796
117,16.091383383240988
118,16.141934789793936
119,16.185108777001492
120,16.202546499268948
121,16.2473973302373
122,16.2840935181138
123,16.308988201973342
124,16.423953083488218
125,16.426300886691582
126,16.434598744472357
127,16.437160952665355
128,16.492754446729837
129,16.575500585789392
130,16.628243794309054
131,16.667047557978048
132,16.69531064592242
133,16.739537729968987
134,16.750475509647117
135,16.798892382884066
136,16.82504430443779
137,16.855578496158017
138,16.87488723207734
139,16.904861330655887
140,16.923965318762377
141,16.92948309085142
142,16.933824019186456
143,16.967202262067246
144,16.997374500086654
145,17.019598551247988
146,17.038842201623552
147,17.043437151857535
148,17.176111356806594
149,17.243569500168707
150,17.245852801205146
151,17.296410470772702
152,17.3070974670202
153,17.34996110259329
154,17.370563939586347
155,17.402932201893343
156,17.406113116608775
157,17.501682137709338
158,17.512111683791414
159,17.515789371012374
160,17.525644062732127
161,17.532293380561306
162,17.59115879234431
163,17.602378924606867
164,17.621195188558467
165,17.630027075716647
166,17.633899912799233
167,17.669448141172957
168,17.729828661355235
169,17.766307240257824
170,17.83163360298655
171,17.847499720221975
172,17.86612021137451
173,17.867045256219058
174,17.890215971898037
175,17.89734876760322
176,17.902511741367356
177,17.91794509780669
178,17.91927997678256
179,17.924773879735724
180,17.976500179370788
181,17.982519959941186
182,18.006656909511598
183,18.084854714103184
184,18.09163059404493
185,18.093197843539954
186,18.167913875814396
187,18.18517473730644
188,18.224928697892125
189,18.236685232236706
190,18.247014586638738
191,18.26838684747271
192,18.297731515462527
193,18.34243505824667
194,18.36239864397804
195,18.374505692277076
196,18.407902237151525
197,18.427083510711434
198,18.440460435685086
199,18.484950731124055
200,18.485274705823944
201,18.49218026381481
202,18.496246684148094
203,18.499206021054004
204,18.53270772714031
205,18.55455937585445
206,18.563506189290266
207,18.57462725600601
208,18.588288697564927
209,18.596454210741275
210,18.612123498038702
211,18.639337065437
212,18.649258920708405
213,18.723302433935803
214,18.760997974789824
215,18.807923669649128
216,18.84656326988293
217,18.86325970462126
218,18.863319227374003
219,18.873367352626495
220,18.889796307573043
221,18.91765121645042
222,18.934382168601694
223,18.995499883084698
224,19.014546999732833
225,19.02689255444713
226,19.04071673048242
227,19.04252606014193
228,19.073245835087075
229,19.07468306408613
230,19.075764063421584
231,19.08590510415256
232,19.094230944384513
233,19.110783378985495
234,19.116728127694977
235,19.12586209500942
236,19.12691925690076
237,19.15520691756858
238,19.19281789634433
239,19.22652558411843
240,19.234870445490134
241,19.294519216678264
242,19.304082404856544
243,19.311174975534925
244,19.33821235610164
245,19.346260048095097
246,19.39032571050461
247,19.395708278021417
248,19.423934675192456
249,19.42679024352857
250,19.456444234434844
251,19.48935858829438
252,19.537405479453472
253,19.583829918243218
254,19.59023223461971
255,19.60189715157619
256,19.610981387192226
257,19.629845830549247
258,19.634531397406477
259,19.638347079273466
260,19.654980470649534
261,19.682379608644332
262,19.686982569729988
263,19.693746955376387
264,19.70888088525654
265,19.72497633952522
266,19.745087713418645
267,19.746451331287872
268,19.810177558751512
269,19.819409720051766
270,19.821281726672982
271,19.83691900075573
272,19.84306537895541
273,19.844890114124542
274,19.848474467782985
275,19.85548935423912
276,19.866657433093387
277,19.871310114685112
278,19.8787472249448
