,0
0,7.733620986384385
1,17.154187020709326
2,17.640278658559716
3,18.054714090903225
4,18.158026531558853
5,18.876495396746744
6,18.983811206809655
7,19.013579137912032
8,19.02543294753512
9,19.11395806206491
10,19.125488762483496
11,19.186029829266506
12,19.24478114891667
13,19.35999770088679
14,19.42783575205354
15,19.486593256452828
16,19.494549706818187
17,19.535282047514862
18,19.53811752443441
19,19.628630402966646
20,19.754339160763205
21,19.81096584059853
22,19.81486813228522
23,19.835674618364074
24,19.86481990818622
25,19.944077393322853
26,19.974071001706886
27,20.00029174101167
28,20.200750361572506
29,20.23101977986505
30,20.257711589213745
31,20.271476389843823
32,20.283247110800247
33,20.310183020052925
34,20.365483057051506
35,20.377756389616167
36,20.389493983317866
37,20.502149370118463
38,20.50289887943072
39,20.52921548619925
40,20.568826476340014
41,20.569219070324383
42,20.636529387154226
43,20.84268017416708
44,20.8534356699928
45,20.971940097358637
46,21.000790269310745
47,21.01073036654448
48,21.019463245401514
49,21.02490319914142
50,21.064364224478243
51,21.069534599414567
52,21.076501769731355
53,21.142347840854
54,21.15704760772823
55,21.15786982233676
56,21.2199567221956
57,21.260515947366372
58,21.2732406747821
59,21.346777945862204
60,21.36502300828139
61,21.439608344973596
62,21.442083772515907
63,21.460724628568766
64,21.487658322958573
65,21.522999764597362
66,21.544379517064982
67,21.56086201390552
68,21.613927306907957
69,21.63320738182202
70,21.65330144499956
71,21.737296984549598
72,21.742159424751538
73,21.75010195129282
74,21.769854324755677
75,21.78269702921291
76,21.795229178198973
77,21.8278552791099
78,21.840174446272567
79,21.852038996354064
80,21.85271191795818
81,21.857987243307818
82,21.90788417428171
83,21.9168149659259
84,21.92108882896215
85,21.933311071950516
86,21.937721587010323
87,21.945514766812128
88,21.95087277587864
89,22.006912599950507
90,22.039175563849145
91,22.045909681052873
92,22.06524481481454
93,22.086304661512088
94,22.155697298210217
95,22.194527165738577
96,22.195032147355274
97,22.21290104167694
98,22.241371678728402
99,22.248441647748532
100,22.314136192932246
101,22.334877860330966
102,22.36874169862837
103,22.50685256418169
104,22.517088543449645
105,22.540153726239904
106,22.610667509257773
107,22.67906903881801
108,22.691791137756457
109,22.7264651502868
110,22.73819026394032
111,22.761574752575378
112,22.786239130113724
113,22.817556094816837
114,22.834939219512396
115,22.859930717112757
116,22.889246455435924
117,22.938415941703955
118,22.977055584341294
119,23.016305833555446
120,23.016941640661745
121,23.026659742970875
122,23.035644720052886
123,23.05366795365065
124,23.100883851262918
125,23.11725134054186
126,23.127376573998266
127,23.127807329364877
128,23.134326119505864
129,23.140140865761886
130,23.146855929018034
131,23.162276657121435
132,23.17460960082415
133,23.194234603752406
134,23.197378682699547
135,23.218795233909624
136,23.220045399616982
137,23.248071819747068
138,23.28916938585842
139,23.295573975525198
140,23.29927442472414
141,23.308474738112672
142,23.30851599034441
143,23.31053043001664
144,23.313917165537088
145,23.37462785503959
146,23.375088576196976
147,23.380782945339913
148,23.387292590100675
149,23.401396120633873
150,23.434828946587473
151,23.440955180363396
152,23.475624466550297
153,23.552216157707445
154,23.56606758905925
155,23.58139448274242
156,23.586313280794922
157,23.595571663164872
158,23.599722787926684
159,23.615539403535895
160,23.619201330792016
161,23.636014114780547
162,23.63910066177385
163,23.63978240970131
164,23.651865945298983
165,23.65581288351485
166,23.67050317716948
167,23.680738796583036
168,23.742134452855158
169,23.755280158727807
170,23.756488836451314
171,23.785156188115735
172,23.794895766548514
173,23.817515614795923
174,23.826621394746198
175,23.841325157229203
176,23.8504785392398
177,23.865105974488728
178,23.881855684799316
179,23.95473989522886
180,24.100417922881697
181,24.153990685264237
182,24.181480223053008
183,24.210263303966858
184,24.22058480103788
185,24.22848055849938
186,24.248671188813248
187,24.328283790718427
188,24.492464120976365
189,24.592932445296317
190,24.714028403129454
191,24.813731993580912
192,24.821030729438853
193,25.016120554561443
194,25.02708293882399
195,25.03683211326195
196,25.041364570900043
197,25.041969224444426
198,25.051894064891094
199,25.080237914713805
200,25.083378681079825
201,25.087561479940014
202,25.13529477001049
203,25.136511752038246
204,25.147363777056814
205,25.152359649837678
206,25.16671196354722
207,25.16922319576292
208,25.202704556225356
209,25.20936160831477
210,25.212356398198924
211,25.213780437608456
212,25.217543125099077
213,25.220262537236867
214,25.230997448362544
215,25.248748630541268
216,25.265977398372083
217,25.281101916384827
218,25.287366175756677
219,25.289507290866307
220,25.290318926165952
221,25.290397169635508
222,25.313667361814147
223,25.324344257295248
224,25.343681051464376
225,25.35884796496386
226,25.386688005351896
227,25.394977556572282
228,25.413811863962145
229,25.4201353441902
230,25.441735021651738
231,25.46533783981532
232,25.466206042088064
233,25.46721122185026
234,25.501578436839573
235,25.533778351084973
236,25.551655560014346
237,25.576013359552377
238,25.588782051289282
239,25.60229239356271
240,25.60601400877242
241,25.607095846384052
242,25.611406336969342
243,25.618966567759927
244,25.62033560268691
245,25.627156842229823
246,25.63534951613882
247,25.6356824544301
248,25.645180537918918
249,25.70487830773548
250,25.712830553442313
251,25.722263225728565
252,25.727296397662496
253,25.740487904182565
254,25.743360361821885
255,25.77706050455924
256,25.806243142455116
257,25.82110271306437
258,25.833468415257336
259,25.8513876697358
260,25.879059353458818
261,25.87955784750901
262,25.8796488841262
263,25.88332558702154
264,25.89001521261565
265,25.896424281882158
266,25.90372958710353
267,25.932216255863
268,25.945737451961318
269,25.959409043903563
270,25.959612317594505
271,25.962349992193282
272,25.988388112273537
273,25.99030415746571
274,26.007091372034807
275,26.03232344374605
276,26.035633502333607
277,26.0491018776941
278,26.05337872403468
